"","FeatureName","FeatureType","DateCode","Waste.Management","Tonnes"
"280","Perth and Kinross","Council Area",2019,"Landfilled",30845.3
"281","Renfrewshire","Council Area",2019,"Landfilled",13466.8
"282","Scottish Borders","Council Area",2019,"Landfilled",15064.5
"283","Shetland Islands","Council Area",2019,"Landfilled",1911.6
"284","South Ayrshire","Council Area",2019,"Landfilled",17119.5
"285","South Lanarkshire","Council Area",2019,"Landfilled",37044.5
"286","Stirling","Council Area",2019,"Landfilled",19033.9
"287","West Dunbartonshire","Council Area",2019,"Landfilled",17994.2
"288","West Lothian","Council Area",2019,"Landfilled",11517.8
"289","Aberdeen City","Council Area",2020,"Landfilled",22358.8
"290","Aberdeenshire","Council Area",2020,"Landfilled",65503.4
"291","Angus","Council Area",2020,"Landfilled",3015.9
"292","Argyll and Bute","Council Area",2020,"Landfilled",22342
"293","City of Edinburgh","Council Area",2020,"Landfilled",6433.2
"294","Clackmannanshire","Council Area",2020,"Landfilled",11923.4
"295","Dumfries and Galloway","Council Area",2020,"Landfilled",11938.2
"296","Dundee City","Council Area",2020,"Landfilled",5143.5
"297","East Ayrshire","Council Area",2020,"Landfilled",25126.1
"298","East Dunbartonshire","Council Area",2020,"Landfilled",7251.9
"299","East Lothian","Council Area",2020,"Landfilled",4949.6
"300","East Renfrewshire","Council Area",2020,"Landfilled",4878.1
"301","Falkirk","Council Area",2020,"Landfilled",33853
"302","Fife","Council Area",2020,"Landfilled",73298.8
"303","Glasgow City","Council Area",2020,"Landfilled",76825.9
"304","Highland","Council Area",2020,"Landfilled",64560.1
"305","Inverclyde","Council Area",2020,"Landfilled",16148.1
"306","Midlothian","Council Area",2020,"Landfilled",4837.6
"307","Moray","Council Area",2020,"Landfilled",18728.5
"308","Na h-Eileanan Siar","Council Area",2020,"Landfilled",8552.7
"309","North Ayrshire","Council Area",2020,"Landfilled",4800.3
"310","North Lanarkshire","Council Area",2020,"Landfilled",18048.4
"311","Orkney Islands","Council Area",2020,"Landfilled",1774.1
"312","Perth and Kinross","Council Area",2020,"Landfilled",33660.9
"313","Renfrewshire","Council Area",2020,"Landfilled",10155.9
"314","Scottish Borders","Council Area",2020,"Landfilled",136.3
"315","Shetland Islands","Council Area",2020,"Landfilled",2178.8
"316","South Ayrshire","Council Area",2020,"Landfilled",19705.9
"317","South Lanarkshire","Council Area",2020,"Landfilled",27292.2
"318","Stirling","Council Area",2020,"Landfilled",22919.2
"319","West Dunbartonshire","Council Area",2020,"Landfilled",23038.1
"320","West Lothian","Council Area",2020,"Landfilled",8027.8
"321","Aberdeen City","Council Area",2021,"Landfilled",9376.1
"322","Aberdeenshire","Council Area",2021,"Landfilled",66291.8
"323","Angus","Council Area",2021,"Landfilled",1661.5
"324","Argyll and Bute","Council Area",2021,"Landfilled",22950
"325","City of Edinburgh","Council Area",2021,"Landfilled",7005.5
"326","Clackmannanshire","Council Area",2021,"Landfilled",11891
"327","Dumfries and Galloway","Council Area",2021,"Landfilled",7211.3
"328","Dundee City","Council Area",2021,"Landfilled",2452
"329","East Ayrshire","Council Area",2021,"Landfilled",22352.4
"330","East Dunbartonshire","Council Area",2021,"Landfilled",6063.5
"331","East Lothian","Council Area",2021,"Landfilled",5486.6
"332","East Renfrewshire","Council Area",2021,"Landfilled",985.1
"333","Falkirk","Council Area",2021,"Landfilled",35582.5
"334","Fife","Council Area",2021,"Landfilled",79541.9
"335","Glasgow City","Council Area",2021,"Landfilled",97416.4
"336","Highland","Council Area",2021,"Landfilled",66706.8
"337","Inverclyde","Council Area",2021,"Landfilled",10821.5
"338","Midlothian","Council Area",2021,"Landfilled",5427.2
"339","Moray","Council Area",2021,"Landfilled",20328.9
"340","Na h-Eileanan Siar","Council Area",2021,"Landfilled",9336.9
"341","North Ayrshire","Council Area",2021,"Landfilled",3469
"342","North Lanarkshire","Council Area",2021,"Landfilled",19189.8
"343","Orkney Islands","Council Area",2021,"Landfilled",1955.9
"344","Perth and Kinross","Council Area",2021,"Landfilled",32706.8
"345","Renfrewshire","Council Area",2021,"Landfilled",6998.2
"346","Scottish Borders","Council Area",2021,"Landfilled",172.4
"347","Shetland Islands","Council Area",2021,"Landfilled",2399.9
"348","South Ayrshire","Council Area",2021,"Landfilled",19706.5
"349","South Lanarkshire","Council Area",2021,"Landfilled",37663.3
"350","Stirling","Council Area",2021,"Landfilled",20867.1
"351","West Dunbartonshire","Council Area",2021,"Landfilled",22368.9
"352","West Lothian","Council Area",2021,"Landfilled",7140
"353","Aberdeen City","Council Area",2011,"Other Diversion",0
